PIZZA|PASTA
BURGER|HOTDOG
TACO|BURRITO
SUSHI|SASHIMI
COFFEE|TEA
BEER|WINE
VODKA|TEQUILA
WHISKEY|RUM
DOG|CAT
LION|TIGER
WOLF|FOX
BEAR|MOOSE
EAGLE|HAWK
PARROT|TOUCAN
SHARK|WHALE
DOLPHIN|SEAL
BEACH|POOL
OCEAN|SEA
LAKE|RIVER
MOUNTAIN|HILL
FOREST|JUNGLE
DESERT|TUNDRA
ISLAND|PENINSULA
VALLEY|CANYON
CAR|BIKE
TRAIN|BUS
PLANE|HELICOPTER
BOAT|SHIP
MOTORCYCLE|SCOOTER
TRUCK|VAN
SUBWAY|TRAM
TAXI|UBER
PHONE|TABLET
LAPTOP|COMPUTER
TV|MONITOR
CAMERA|CAMCORDER
KEYBOARD|PIANO
MOUSE|TRACKPAD
SPEAKER|HEADPHONES
MICROPHONE|RECORDER
BOOK|MAGAZINE
NEWSPAPER|JOURNAL
NOVEL|STORY
DICTIONARY|ENCYCLOPEDIA
MOVIE|SHOW
FILM|DOCUMENTARY
COMEDY|SITCOM
DRAMA|THRILLER
GUITAR|BASS
PIANO|KEYBOARD
DRUMS|PERCUSSION
VIOLIN|CELLO
TRUMPET|TROMBONE
FLUTE|CLARINET
SAXOPHONE|HARMONICA
BANJO|UKULELE
APPLE|PEAR
BANANA|PLANTAIN
ORANGE|TANGERINE
GRAPE|BERRY
LEMON|LIME
PEACH|NECTARINE
STRAWBERRY|RASPBERRY
WATERMELON|CANTALOUPE
SHIRT|JACKET
PANTS|SHORTS
JEANS|KHAKIS
DRESS|SKIRT
SHOES|BOOTS
SNEAKERS|SANDALS
HAT|CAP
SCARF|BANDANA
SUMMER|SPRING
WINTER|FALL
SUNNY|CLOUDY
RAIN|SNOW
THUNDER|LIGHTNING
HURRICANE|TORNADO
EARTHQUAKE|VOLCANO
FLOOD|DROUGHT
CITY|TOWN
VILLAGE|SUBURB
HOUSE|APARTMENT
MANSION|CASTLE
CABIN|COTTAGE
HOTEL|MOTEL
RESTAURANT|CAFE
BAR|PUB
CHAIR|COUCH
SOFA|LOVESEAT
TABLE|DESK
BED|MATTRESS
LAMP|CHANDELIER
MIRROR|WINDOW
DOOR|GATE
FENCE|WALL
KNIFE|SWORD
FORK|SPOON
CUP|MUG
GLASS|TUMBLER
BOWL|PLATE
PAN|POT
OVEN|STOVE
FRIDGE|FREEZER
DOCTOR|NURSE
SURGEON|DENTIST
TEACHER|PROFESSOR
STUDENT|PUPIL
CHEF|COOK
WAITER|BARTENDER
LAWYER|JUDGE
POLICE|DETECTIVE
ARTIST|PAINTER
SCULPTOR|POTTER
SINGER|RAPPER
DANCER|CHOREOGRAPHER
ACTOR|COMEDIAN
DIRECTOR|PRODUCER
WRITER|AUTHOR
POET|NOVELIST
FOOTBALL|SOCCER
BASKETBALL|VOLLEYBALL
TENNIS|BADMINTON
GOLF|CROQUET
HOCKEY|LACROSSE
BASEBALL|CRICKET
BOXING|WRESTLING
KARATE|JUDO
SWIMMING|DIVING
RUNNING|JOGGING
YOGA|PILATES
CYCLING|SPINNING
SKIING|SNOWBOARDING
SURFING|WAKEBOARDING
CHESS|CHECKERS
POKER|BLACKJACK
MONOPOLY|RISK
SCRABBLE|BOGGLE
MARIO|LUIGI
ZELDA|METROID
FORTNITE|PUBG
MINECRAFT|ROBLOX
PLAYSTATION|XBOX
NINTENDO|SEGA
APPLE|SAMSUNG
IPHONE|ANDROID
WINDOWS|MAC
CHROME|FIREFOX
GOOGLE|BING
YOUTUBE|TIKTOK
INSTAGRAM|SNAPCHAT
FACEBOOK|TWITTER
SPOTIFY|PANDORA
NETFLIX|HULU
AMAZON|EBAY
WALMART|TARGET
MCDONALDS|BURGERKING
STARBUCKS|DUNKIN
PEPSI|COKE
SPRITE|SEVENUP
REDBULL|MONSTER
CHOCOLATE|VANILLA
STRAWBERRY|CHERRY
CARAMEL|BUTTERSCOTCH
HONEY|SYRUP
SALT|PEPPER
KETCHUP|MUSTARD
MAYO|RANCH
BUTTER|MARGARINE
MILK|CREAM
CHEESE|YOGURT
BREAD|TOAST
BAGEL|DONUT
MUFFIN|CUPCAKE
CAKE|PIE
COOKIE|BROWNIE
CANDY|CHOCOLATE
ICECREAM|GELATO
SODA|JUICE
WATER|SPARKLING
